geneid	JP6pm	JP8pm	JP10pm	JPMid	JP2am	JP4am	JP6am	JP8am	JP10am	JPnoon	JP2pm	JP4pm
TRINITY_DN27112_c0_g1	6.3	12.78	14.11	24.17	14.43	15.09	8.11	6.67	10.77	9.25	8.7	6.96
TRINITY_DN22615_c0_g1	26.24	26.05	22.61	22.72	28.52	22.13	18.37	25.72	31.99	23.63	27.69	26.42
TRINITY_DN35735_c1_g5	62.89	63.79	59.96	66.87	72.93	71.29	76.55	79.68	85.96	80.3	80.73	78.67
TRINITY_DN35367_c1_g1	8.74	8.96	10.22	10.45	9.2	8.79	7.33	8.58	8.22	8.13	8.58	8.46
TRINITY_DN24449_c0_g1	24.09	37.93	38.48	45.93	39.94	36.53	24.27	19.56	23.64	22.5	22.27	22.67
TRINITY_DN31460_c2_g1	8.07	5.86	5.5	5.33	6.48	9.02	15.89	22.51	31.44	27.14	27.5	15.56
TRINITY_DN35507_c2_g5	3.03	2.01	1.28	0.48	1.65	0.5	0	1.32	3.13	1.17	0	1.36
TRINITY_DN30211_c2_g6	0.3	0.97	1.13	1.57	1.28	3.37	2.6	1.09	1.3	0.61	0.21	0.74
TRINITY_DN30124_c0_g2	12.78	17.02	17.69	19.97	13.34	13.74	11.53	9.92	7.74	10.26	11.03	13.04
TRINITY_DN30124_c0_g1	1.62	3.94	3.32	3.3	2.99	3.03	2.55	3.55	1.27	3.89	2.83	1.96
TRINITY_DN33964_c3_g16	10.78	0	4.18	0	0	0	0	0	0	6.89	5.21	0
TRINITY_DN27530_c0_g1	122.58	103.11	102.25	107.51	108.03	110.69	118.96	189.18	178.37	166.61	153.2	135.05
TRINITY_DN25597_c0_g3	6.55	9.05	8.72	16.29	15.47	14.2	8.8	13.06	9.73	6.51	9.66	4.72
TRINITY_DN32603_c0_g4	0	0	0	0	0	3.29	0	0	0	7.77	0	11.01
TRINITY_DN28493_c2_g2	18.44	11.02	9.82	12.03	13.09	10.93	15.14	20.59	15.49	22.33	20.2	14.5
TRINITY_DN30922_c1_g1	2.98	3.46	3.01	2.74	1.59	2.22	1.91	1.37	1.81	2.33	2.67	2.52
TRINITY_DN32001_c0_g1	18.24	22.16	28.77	33.14	35.89	41.13	56.54	40.75	31.09	23.73	24.22	23.18
TRINITY_DN29880_c0_g1	12.55	15.27	17.26	17.17	18.9	21.23	21.04	24.08	23	16.1	17.71	15.43
TRINITY_DN35795_c0_g2	20.52	20.66	27	31.25	42.09	61.78	73.29	89.93	52.16	39.57	34.09	26.71
TRINITY_DN22881_c0_g1	375.19	367.59	342.28	362.36	416.72	264.98	254.14	245.91	209.1	170.08	165.97	295.93
TRINITY_DN34414_c4_g2	1.29	1.1	1.43	2.85	2.83	4.12	3.65	1.06	1.52	1.4	1.63	1.18
TRINITY_DN25544_c0_g1	2.07	1.63	1.57	1.7	2.64	1.34	1.67	0.78	2.06	1.23	3.09	2.34
TRINITY_DN21022_c0_g1	4.3	6.92	4.86	4.54	4.03	3.77	3.78	1.65	5.05	5.73	4.14	6.71
TRINITY_DN33293_c1_g2	22.13	22.96	20.36	19.47	14.55	11.81	10.24	11.67	10.57	10.67	18.16	20.09
TRINITY_DN33293_c1_g3	5.95	6.55	6.51	6.56	6.32	6.19	7.05	5.97	7.12	7.39	7.7	7.46
TRINITY_DN33293_c1_g4	2.7	5.75	2.9	4.17	1.59	1.23	2.1	0.94	3.17	1.63	1.56	3.13
TRINITY_DN35067_c3_g1	2.9	4.4	3.66	3.64	2.46	2.94	2.38	2.53	2.96	3.39	4.01	3.36
TRINITY_DN28497_c0_g1	1.31	3.55	2.51	3.64	0	6.47	3	2.52	1.69	2.79	3.64	0.67
